Category,Subcategory,Service Name,Phone Number,Physical Address,Hours of operation,Description,Wheelchair access (y),Language Help (y),Web address,Email Address
Basic Needs,Bathrooms,St. Vincent de Paul - Eugene Service Station,541-461-8688,"450 Highway 99 North Eugene, OR 97402","7 days, 8AM-5PM","The Eugene Service Station provides day shelter, bathrooms, meals, laundry services, showers, telephones, mail services, and Dusk to Dawn shelter. They also provide vouchers for St. Vincent’s thrift stores, which can be used for clothes, bedding, and other items.",y,?,https://www.svdp.us/what-we-do/homeless-services/eugene-service-station/,
Basic Needs,Bathrooms,White Bird - Front Rooms Resource Center,541-342-8255,"341 E. 12th Ave, Eugene","7 days, 8AM-10PM","White Bird Front Rooms provides water, a mail/messaging service, phone access, clothing, bathrooms, and indoor shelter for up to two hours at a time. Referrals and information are available by phone or walk in. Also provides vouchers for no cost vision exams, lenses and frames.",?,some,https://whitebirdclinic.org/front-rooms,
Basic Needs,Clothing,,,,,,,,,
Basic Needs,Clothing,Catholic Community Services Springfield Center,541-345-3628 xt 324,"1025 G St, Springfield, OR 97477",T-F 9am-4:30pm,"Clothing closet is open from Tuesday – Saturday from 9:30 a.m. to 12 p.m. Also available is a food pantry 9-12:45 WFS. Utility help, housing resources, personal hygiene, prescription assistance, rental assistance and SNAP enrollment assistance also available.",y,y,https://www.ccslc.org/food-clothing-and-emergency-help,
Basic Needs,Clothing,Ebbert United Methodist Church,541-746-3513,"532 C Street, Springfield, OR, 97477","MTTHF 8-11am, W 4:30-7pm",Meals served. Breakfast on Mondays from 8:00 am to 11:00 am. Sack lunches on Tuesdays and Thursdays from 8:00 am to 11:15 pm. Community meal on Wednesdays at 4:30-7pm. Saturday dinner 4pm provided by Hope House. Clothing closet open Monday and Wednesday at meal times.,,,https://ebbertumc.org/,
Basic Needs,Clothing,Eugene Mission,541-344-3251,"1542 W 1st Ave., Eugene 97402",M-F 7am-1pm,"Clothing is available to those who request items before 9am, Monday-Friday. Meals, overnight shelter, day shelter, showers and hygiene items are also available.",y,y,https://eugenemission.org/about/faqs/,
Basic Needs,Clothing,First Christian Church - Helping Hand Room,541-344-1425,"1166 Oak St. Eugene, OR, 97401",TTh 12 - 2,"Provides clothing for all ages, including baby clothes, kitchen items, and bedding to those in need. Items are used and in good condition.",y,y,www.heartofeugene.org,
Basic Needs,Clothing,First Way of Eugene,541-687-8651,"1162 B St. #213 Springfield, Or 97477",TWTh 10-4,"Provides pregnancy tests, ultrasound, baby and toddler clothes, baby wipes, diapers, all without charge. Pregnant women can be signed up for insurance and receive referrals for health services.",,,https://www.1st-way.org/,
Basic Needs,Clothing,Looking Glass - New Roads Program,541-686-2688,"941 W 7th, Eugene","M-F, 8:30-3:30","Day shelter and food for youth 16-21 only. Food, clothing, showers, and assistance with employment, transitional and permanent housing. Meals: Breakfast - 8:30 - 9:30 am Lunch - 12:00 - 1:00 pm Snacks - 3-3:30 pm",,,https://www.lookingglass.us/new-roads,
Basic Needs,Clothing,St. Vincent de Paul - Eugene Service Station,541-461-8688,"450 Highway 99 North Eugene, OR 97402","7 days, 8am-5pm ","The Eugene Service Station provides vouchers for St. Vincent’s thrift stores, which can be used for clothes, bedding, and other items. They also provide day shelter, meals, bathrooms, laundry services, showers, telephones, mail services, and Dusk to Dawn shelter.",y,,https://www.svdp.us/what-we-do/homeless-services/eugene-service-station/,
Basic Needs,Clothing,Share Fair,,(check website for location this month),"Last Tuesday of every month, 3-6:30pm","Every month Share Fair gives away free items they have collected from the community. They offer a meal, clothes, household supplies, services and face-to-face contacts with local services. Look at the website for the location and date this month.",,,https://neighborhoodanarchists.org/sharefair/,sharefair@neighborhoodanarchists.org
Basic Needs,Clothing,Springfield Adventist Community Center,541-746-8263,"1546 N 12th St., Springfield","7 days a week, 8am-10pm",Food pantry hours: 1st and 3rd Tuesday 10am-1pm; 2nd and 4th Tuesday 4-7pm,,,,
Basic Needs,Clothing,White Bird - Front Rooms Resource Center,541-342-8255,"341 E. 12th Ave, Eugene","7 days, 8am-10pm","White Bird Front Rooms provides water, a mail/messaging service, phone access, clothing, bathrooms, and indoor shelter for up to two hours at a time. Referrals and information are available by phone or walk in. Also provides vouchers for no cost vision exams, lenses and frames.",,,https://whitebirdclinic.org/front-rooms,
Basic Needs,Day Shelters,,,,,,,,,
Basic Needs,Day Shelters,Eugene Mission,541-344-3251,"1542 W 1st Ave., Eugene 97402",M-F 7am-1pm,"Walk-in day shelters are available, including showers, meals, and hygiene items. The Men’s day shelter is available from 7am-1pm, 4-6pm M-F; the Women’s day shelter is available from 7am to 1pm M-F. Women and children are welcome most times of the day, M-F (please call the center for availability, if you can).",y,y,https://eugenemission.org/about/faqs/,
Basic Needs,Day Shelters,First Place Family Center,541-342-7728,"1995 Amazon Parkway, Eugene OR 97405","7 days, 8am-5pm","Offers a day time facility for families with children, providing bathrooms, meals, mail service, laundry, computers, preschool, limited overnight accommodations, and referrals for jobs, housing and recovery.",y,y,https://www.svdp.us/what-we-do/homeless-services/first-place-family-center/,
Basic Needs,Day Shelters,G-Street Oasis,541.214.0260,"1175 G St., Springfield",M-F 9-3,"Provides day shelter and other services for homeless families with children. Laundry, hygiene supplies, bathrooms, kitchen facilities and showers available. They also provide limited transitional housing and referrals for families. To obtain services one must be registered in the program, please call Gail at the phone above to register, or email gstreet@ccslc.org",,,https://www.ccslc.org/g-street-oasis,gstreet@ccslc.org
Basic Needs,Day Shelters,Hosea Youth Services Project,541-344-5583,"834 Monroe Street, Eugene, OR, 97402",MWF 4:30-6:30pm,"Drop-in day access center for homeless and displaced youth 16-24 including job search, meals, showers, laundry, clothing, and personal hygiene items.",y,,http://www.hoseayouth.org,
Basic Needs,Day Shelters,Looking Glass - New Roads Program,541-686-2688,"941 W 7th, Eugene",M-F 8:30-3:30,"Day shelter and food for youth 16-21 only. Meals: Breakfast - 8:30 - 9:30 am Lunch - 12:00 - 1:00 pm Snacks - 3-3:30 pm Food, clothing, showers, and assistance with employment, transitional and permanent housing.",,,https://www.lookingglass.us/new-roads,
Basic Needs,Day Shelters,St. Vincent de Paul - Eugene Service Station,541-461-8688,"450 Highway 99 North Eugene, OR 97402",7 days 8am-5pm,"The Eugene Service Station provides day shelter, bathrooms, meals, laundry services, showers, telephones, mail services, and Dusk to Dawn shelter. They also provide vouchers for St. Vincent’s thrift stores, which can be used for clothes, bedding, and other items.",y,,https://www.svdp.us/what-we-do/homeless-services/eugene-service-station/,
Basic Needs,Day Shelters,White Bird - Front Rooms Resource Center,541-342-8255,"341 E. 12th Ave, Eugene",7 days 8am-10pm,"White Bird Front Rooms provides water, a mail/messaging service, phone access, clothing, bathrooms, and indoor shelter for up to two hours at a time. Referrals and information are available by phone or walk in. Also provides vouchers for no cost vision exams, lenses and frames.",,,https://whitebirdclinic.org/front-rooms,
Basic Needs,Day Storage,,,,,,,,,
Basic Needs,Day Storage,St. Vincent’s Storage Locker,541-689-6747,"On Olive Street, behind Eugene Library",M-F 9-5:30,"Day use locked storage lockers, attended during the day.",,,,
Basic Needs,Haircuts,,,,,,,,,
Basic Needs,Haircuts,Eugene Mission,541-344-3251,1542 W 1st Ave. Eugene 97402,Call for hours,"Free haircuts are available. Please call for the schedule. Eugene Mission also provides overnight shelters, day shelters, meals, showers, clothing and more.",y,y,https://eugenemission.org/,
Basic Needs,Hygiene Items,,,,,,,,,
Basic Needs,Hygiene Items,Catholic Community Services Springfield Center,541-345-3628 xt. 404,"1464 W 6th Ave, Eugene",M-F 9-4:30,"Hygiene items, food pantry, utility help, prescription assistance.",y,y,https://www.ccslc.org/food-clothing-and-emergency-help,
Basic Needs,Hygiene Items,Catholic Community Services Springfield Center,541-345-3628 xt 324,"1025 G St, Springfield, OR 97477",T-F 9-4:30,"Hygiene items, clothing room, food pantry, utility help, housing resources, personal hygiene, prescription assistance, rental assistance.",y,y,https://www.ccslc.org/food-clothing-and-emergency-help,
Basic Needs,Hygiene Items,Eugene Mission,541-344-3251,"1542 W 1st Ave., Eugene 97402",M-F 9-4:30,"Meals, overnight shelter, day shelter, showers and hygiene items are available. Clothing is available to those who request items before 9am, Monday-Friday.",y,y,https://eugenemission.org/about/faqs/,
Basic Needs,Hygiene Items,G-Street Oasis,541.214.0260,"1175 G St., Springfield",M-F 9-3,"Provides day shelter and other services for homeless families with children. Laundry, hygiene supplies, bathrooms, kitchen facilities and showers available. They also provide limited transitional housing and referrals for families. To obtain services one must be registered in the program, please call Gail at the phone above to register, or email gstreet@ccslc.org",,,https://www.ccslc.org/g-street-oasis,gstreet@ccslc.org
Basic Needs,Hygiene Items,Hosea Youth Services Project,541-344-5583,"834 Monroe Street, Eugene",MWF 4:30-6:30pm,"Drop-in day access center for homeless and displaced youth 16-24 including job search, meals, showers, laundry, clothing, and personal hygiene items.",y,,http://www.hoseayouth.org,
Basic Needs,Household Goods,,,,,,,,,
Basic Needs,Household Goods,St. Vincent de Paul Social Services,541-689-6747,"456 Highway 99 N, Eugene",MTThF 10am-4pm,"Social Services provides one-time rental assistance, a food pantry, clothing, vouchers for household goods and furniture, propane, prescription assistance, and Second Chance Renters Rehabilitation.",y,,www.svdp.us/get-help/,
Basic Needs,ID / Birth Certificate Replacement,,,,,,,,,
Basic Needs,iD / Birth Certificate Replacement,Oregon Department of Motor Vehicles - Eugene,541-686-7855,"2870 W 10th Pl. Eugene, OR, 97402",MTThF 8- 5,"Provides all forms of driver licensing, vehicle titles and registration, MCTD and highway permits. For disabled parking placards, pick up an application, get a doctor's signature, and return the application. Homeless individuals may use shelter location with letter as proof of address for obtaining IDs.",y,y,oregon.gov/ODOT/DMV/pages/offices/eugenedtc.aspx,
Basic Needs,iD / Birth Certificate Replacement,Oregon Department of Motor Vehicles - Springfield,503-945-5000,"204 N 30th St, Springfield, OR 97478", MTThF 9 - 5,"Provides all forms of driver licensing, vehicle titles and registration, MCTD and highway permits. For disabled parking placards, pick up an application, get a doctor's signature, and return the application. Homeless individuals may use shelter location with letter as proof of address for obtaining IDs.",y,y,,
Basic Needs,iD / Birth Certificate Replacement,Catholic Community Services Eugene Center,541-345-3628 xt. 404,"1464 W 6th Avenue, Eugene",M-F 9-4:30,"For assistance with obtaining an ID or birth certificate. On the 2nd and last Thursdays of the month there is a lottery at 9am to determine who will receive the service. Please bring any identifying records you have available. Food pantry, utility assistance, prescription assistance, hygiene items and rental assistance also available.",y,y,,
Basic Needs,iD / Birth Certificate Replacement,Catholic Community Services Springfield Center,541-345-3628,"1025 G St, Springfield, OR 97477",T-F 9-4:30,"For assistance with obtaining an ID or birth certificate. On the 2nd and last Thursdays of the month there is a lottery at 9am to determine who will receive the service. Please bring any identifying records you have available. Food pantry, clothing closet, utility assistance, prescription assistance, hygiene items and rental assistance also provided.",y,y,https://www.ccslc.org/food-clothing-and-emergency-help,
Basic Needs,iD / Birth Certificate Replacement,White Bird: Homeless,541-342-1295,"323 E 12th Ave, Eugene",M-Th 12-2pm,"Assists in obtaining birth certificates free of charge. Case management for homeless individuals, can sign up for Social Security benefits.",,,,
Basic Needs,Internet Access & Library Services,,,,,,,,,
Basic Needs,Internet Access & Library Services,Eugene Public Library,541-682-5450,"100 W 10th Ave. Eugene, OR, 97401","M - Th 10 - 8, F - Su 10 - 6",Wifi and computer access available.,y,y,eugene-or.gov/library,
Basic Needs,Internet Access & Library Services,Bethel Branch Library,541-682-5450,"1990 Echo Hollow Road, Eugene",MWThFSa 10-6; T 12-8,Wifi and computer access available.,y,y,https://www.eugene-or.gov/130/Eugene-Public-Library,
Basic Needs,Internet Access & Library Services,Sheldon Branch Library,,1566 Coburg Rd. Eugene,MWThFSa 10 AM - 6 PM; T 12 - 8 PM,Library with WIFI and computers.,y,y,https://www.eugene-or.gov/130/Eugene-Public-Library,
Basic Needs,Internet Access & Library Services,Campbell Center,541-682-5318,"100 W 10th Ave, Suite 321, Eugene",M-F 9:30-12:30,Printed pages are ten cents a sheet. Wifi available at all community centers.,,,https://www.eugene-or.gov/3237/Campbell-Community-Center,
Basic Needs,Internet Access & Library Services,First Place Family Center,541-342-7728,"1995 Amazon Parkway, Eugene OR 97405",7 days 8am-5pm,"Offers a day time facility for families with children, meals, mail service, laundry, computers, preschool, limited overnight accommodations, and referrals for jobs, housing and recovery.",y,y,https://www.svdp.us/what-we-do/homeless-services/first-place-family-center/,
Basic Needs,Internet Access & Library Services,Springfield Public Library,541-726-3766,225 5th St. Springfield,"M - T 10am-8pm, W - Th 10am-6pm, F - Sa 10am-5pm",Wifi and computers,y,y,wheremindsgrow.org,
Basic Needs,Internet Access & Library Services,University of Oregon Knight Library,541-346-3053,"501 Kincaid, Eugene",M-F 9-6,"Public workstations provide full access to the library catalog, the libraries' electronic databases and resources, information about the libraries, and open Internet access. Public workstations are available on a first come/first served basis and are limited to 30 minutes.",y,y,https://library.uoregon.edu/knight-library,
Basic Needs,Internet Access & Library Services,WorkSource Lane,541-686-7601,2510 Oakmont Way Eugene,M-F 8 - 5,"The Job and Career Center provides job-search assistance, career counseling, job-finding workshops, resume and cover-letter writing assistance to all job seekers. Computer and internet access available for job search purposes.",y,y,worksourceoregon.org,
Basic Needs,Laundry,,,,,,,,,
Basic Needs,Laundry,Laundry Unicorns/Eugene Mennonite Church,541-343-9548,"2110 W 6th Ave #2698, Eugene (Big Y Laundry)",Every other Wednesday 6-9pm,Individuals who live on the street may get their clothes laundered and dried for free. Laundry soap and bleach and clean bags provided. Also some snacks and survival supplies available.,y,,,
Basic Needs,Laundry,Eugene Mission,541-344-3251,"542 W 1st Ave., Eugene ",,"Laundry is available for overnight guests. Eugene Mission also provides overnight shelter, day shelter, showers, clothing, meals and more.",y,y,https://eugenemission.org/about/faqs/,
Basic Needs,Laundry,First Place Family Center,541-342-7728,"1995 Amazon Parkway, Eugene OR 97405",7 days 8am-5pm,"Offers a day time facility for families with children, meals, mail service, laundry, computers, preschool, limited overnight accommodations, and referrals for jobs, housing and recovery. Wheelchair access, Se habla Espanol",y,y,https://www.svdp.us/what-we-do/homeless-services/first-place-family-center/,
Basic Needs,Laundry,G-Street Oasis,541-344-5583,"1175 G St., Springfield",M-F 9-3,"Provides day shelter and other services for homeless families with children. Laundry, hygiene supplies, bathrooms, kitchen facilities and showers available. They also provide limited transitional housing and referrals for families. To obtain services one must be registered in the program, please call Gail at the phone above to register, or email gstreet@ccslc.org",,,https://www.ccslc.org/g-street-oasis,
Basic Needs,Laundry,Hosea Youth Services Project,541-344-5583,"834 Monroe Street, Eugene",MWF 4:30-6:30pm,"Drop-in day access center for homeless and displaced youth 16-24 including job search, meals, showers, laundry, clothing, and personal hygiene items.",y,,http://www.hoseayouth.org,
Basic Needs,Laundry,St. Vincent de Paul - Eugene Service Station,541-461-8688,450 Highway 99 North Eugene,7 days 8am-5pm ,"The Eugene Service Station provides day shelter, bathrooms, meals, laundry services, showers, telephones, mail services, and Dusk to Dawn shelter. They also provide vouchers for St. Vincent’s thrift stores, which can be used for clothes, bedding, and other items.",,,https://www.svdp.us/what-we-do/homeless-services/eugene-service-station/,
Basic Needs,Mail and Messages,,,,,,,,,
Basic Needs,Mail and Messages,Eugene Mission,541-344-3251,1542 W 1st Ave. Eugene 9740,,"Mail service is available for overnight guests. Eugene Mission also offers overnight shelters, day shelters, meals, clothing, showers, toiletries, haircuts and snacks.",y,y,https://eugenemission.org/,
Basic Needs,Mail and Messages,First Place Family Center,541-342-7728,"1995 Amazon Parkway, Eugene OR 97405",7 days 8am-5pm,"Offers a day time facility for families with children, meals, mail service, laundry, computers, preschool, limited overnight accommodations, and referrals for jobs, housing and recovery.",y,y,https://www.svdp.us/what-we-do/homeless-services/first-place-family-center/,
Basic Needs,Mail and Messages,St. Vincent de Paul - Eugene Service Station,541-342-8255,"450 Highway 99 North Eugene, OR 97402",7 days 8am-10pm,"he Eugene Service Station provides day shelter, bathrooms, meals, laundry services, showers, telephones, mail services, and Dusk to Dawn shelter. They also provide vouchers for St. Vincent’s thrift stores, which can be used for clothes, bedding, and other items.",y,,https://www.svdp.us/what-we-do/homeless-services/eugene-service-station/,
Basic Needs,Mail and Messages,White Bird - Front Rooms Resource Center,541-342-8255,"341 E. 12th Ave, Eugene",7 days 8am-10pm,"White Bird Front Rooms provides water, a mail/messaging service, phone access, clothing, bathrooms, and indoor shelter for up to two hours at a time. Referrals and information are available by phone or walk in. Also provides vouchers for no cost vision exams, lenses and frames. Translator service available.Provides a mail service, phone access, bathrooms, vision services, first aid, and indoor shelter for up to two hours at a time. Referrals and information are available by phone or walk in.",,,,
Basic Needs,Propane,,,,,,,,,
Basic Needs,Propane,FISH/Trinity United Methodist Church,541-689-9750,"440 Maxwell Rd. Eugene, OR",M - F 10 - 2:30,"Provides emergency food, propane and prescription drug assistance to individuals and families. Operates a food cupboard and takes calls for food, prescription drug and propane assistance five days a week.",y,,trinityumceugene.org/fish-food-pantry/,
Basic Needs,Propane,St. Vincent de Paul Social Services,541-689-6747,"456 Highway 99 N, Eugene",MTThF 10am-4pm,"Social Services provides one-time rental assistance, a food pantry, clothing, vouchers for household goods, propane, prescription assistance, and Second Chance Renters Rehabilitation. Wheelchair access.",,,www.svdp.us/get-help/,
Basic Needs,Phone,,,,,,,,,
Basic Needs,Phone,Department of Human Services,541-686-7722,"2101 W. 11 th Ave., Eugene",M-F 7am-6pm,"Apply for state- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided. Wheelchair access, English and Spanish spoken.",,,,
Basic Needs,Phone,St. Vincent de Paul - Eugene Service Station,541-461-8688,"450 Highway 99 North Eugene, OR 97402",7 days 8am-5pm,"The Eugene Service Station provides day shelter, bathrooms, meals, laundry services, showers, telephones, mail services, and Dusk to Dawn shelter. They also provide vouchers for St. Vincent’s thrift stores, which can be used for clothes, bedding, and other items.",y,,https://www.svdp.us/what-we-do/homeless-services/eugene-service-station/,
Basic Needs,Phone,White Bird - Front Rooms Resource Center,541-342-8255,"341 E. 12th Ave, Eugene",7 days 8am-10pm,"White Bird Front Rooms provides water, a mail/messaging service, phone access, clothing, bathrooms, and indoor shelter for up to two hours at a time. Referrals and information are available by phone or walk in. Also provides vouchers for no cost vision exams, lenses and frames.",,,,
Basic Needs,Phone,Freedom Pop,1-800-491-5676,,,"Low cost cell phone service for those with an ""unlocked"",  ""GSM"" phone (takes a SIM card). Free 200 minute calling plan to 12 month unlimited calling and texting for 49.99 dollars. Use link http://fpop.co/gWa0",,,http://fpop.co/gWa0,
Basic Needs,Showers,,,,,,,,,
Basic Needs,Showers,Eugene Mission,541-344-3251,"1542 W 1st Ave., Eugene 97402",See description below,"Showers are available for those who stay overnight and for those who walk in. Men can shower from 8am-1pm and 4:30-6:30pm M-F. Women can shower from 9-11am M-F. Women with children can contact the Mission for shower time. Eugene Mission also provides overnight shelters, day shelters, clothing, haircuts, hygiene items, meals, case management and referrals.",y,y,https://eugenemission.org/about/faqs/,
Basic Needs,Showers,G-Street Oasis,541.214.0260,"1175 G St., Springfield",M-F 9-3,"Provides day shelter and other services for homeless families with children. Laundry, hygiene supplies, bathrooms, kitchen facilities and showers available. They also provide limited transitional housing and referrals for families. To obtain services one must be registered in the program, please call Gail at the phone above to register, or email gstreet@ccslc.org",,,https://www.ccslc.org/g-street-oasis,gstreet@ccslc.org
Basic Needs,Showers,Hosea Youth Services Project,541-344-5583,"834 Monroe Street, Eugene, OR, 97402",MWF 4:30-6:30pm,"Drop-in day access center for homeless and displaced youth 16-24 including job search, meals, showers, laundry, clothing, and personal hygiene items.",y,,http://www.hoseayouth.org,
Basic Needs,Showers,Looking Glass - New Roads Program,541-686-2688,"941 W 7th, Eugene",M-F 8:30-3:30,"Day shelter and food for youth 16-21 only. Meals: Breakfast - 8:30 - 9:30 am Lunch - 12:00 - 1:00 pm Snacks - 3-3:30 pm Food, clothing, showers, and assistance with employment, transitional and permanent housing.",,,https://www.lookingglass.us/new-roads,
Basic Needs,Showers,St. Vincent de Paul - Eugene Service Station,541-461-8688,"450 Highway 99 North Eugene, OR 97402",8am-5pm 7 days a week.,"The Eugene Service Station provides day shelter, bathrooms, meals, laundry services, showers, telephones, mail services, and Dusk to Dawn shelter. They also provide vouchers for St. Vincent’s thrift stores, which can be used for clothes, bedding, and other items.",y,,https://www.svdp.us/what-we-do/homeless-services/eugene-service-station/,
Care,Burial and Cremation,,,,,,,,,
Care,Burial and Cremation,Lane County Medical Examiner,541-682-4261 (ask the District Attorney’s office to connect you to the ME),"125 E 8th #400, Eugene",M-F 9-5,"The ME investigates deaths and provide information about cause of death to next-of-kin. The website has a list of funeral homes and cremation services. The Medical Examiner’s office cannot make a recommendation of a funeral home for you. If you call the Medical Examiner, you first speak to the administrative assistant of the District Attorney.",,,https://www.lanecounty.org/UserFiles/Servers/Server_3585797/File/Government/County%20Departments/District%20Attourneys%20Office/Medical%20Examiner/ME_General_Information-Feb2014.pdf,
Care,Domestic Violence/Sexual Assault,,,,,,,,,
Care,Domestic Violence/Sexual Assault,Department of Human Services,541-686-7722,"2101 W. 11 th Ave., Eugene",M-F 7am-6pm,"State- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided.",y,y,,
Care,Domestic Violence/Sexual Assault,Department of Human Services,541-686-7555,"1899 Willamette St., Eugene",M-F 8am-5pm,"State- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided.",y,y,,
Care,Domestic Violence/Sexual Assault,Department of Human Services,541-726- 3525,"101 30th St., Springfield",M-F 7am-6pm,"State- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided.",y,y,,
Care,Domestic Violence/Sexual Assault,Department of Human Services,541- 726-6644,"1040 Harlow Rd, Springfield",M-F 8am-5pm,"State- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided.",y,y,,
Care,Domestic Violence/Sexual Assault,Options Counseling Services,541-687-6983,"1255 Pearl St., Ste. 102 Eugene, OR, 97401",M-F 8:30am - 5pm,"Provides mental health, family preservation, life skills for families with children.",,,options.org,options@options.org
Care,Domestic Violence/Sexual Assault,Womenspace 24-hr. Hotline,541-485-6513,,24/7,"24/7 crisis line for all victims and survivors of domestic violence, intimate partner violence, sexual assault and stalking in Lane County.",,,,
Care,Domestic Violence/Sexual Assault,Womenspace - Domestic Violence Advocacy Center,541-485-8232,"1577 Pearl St., 2nd floor, Eugene, OR, 97401",M-F 9am-4:30pm,"Emergency and support services for domestic violence survivors in intimate partner relationships. This includes emergency shelter, legal advocacy, transportation, safety planning, case management, and children and youth services. All services free of charge",y,y,,
Care,Family Care Services,,,,,,,,,
Care,Family Care Services,Catholic Community Services Eugene Center,541-345-3628 xt. 404,"1464 W 6th Ave, Eugene",M-F 9-4:30,"Food pantry, rental assistance, utility assistance, housing referrals, prescription assistance, referrals to employment counseling and more!",y,y,https://www.ccslc.org/food-clothing-and-emergency-help,
Care,Family Care Services,Catholic Community Services Springfield Center,541-345-3628,"1025 G St. Springfield, OR 97477",T-F 9-4:30,"Food pantry, clothing closet, rental assistance, utility assistance, housing referrals, prescription assistance, referrals to employment counseling, SNAP enrollment assistance, and more!",y,y,https://www.ccslc.org/food-clothing-and-emergency-help,
Care,Family Care Services,Department of Human Services,541-686-7722,"2101 W. 11 th Ave., Eugene",M-F 7am-6pm,"State- and federally-funded services. Food benefits (SNAP), employment services, cash assistance (TANF), domestic violence services, child welfare services, health benefits (OHP), senior citizens services. Also, apply for free phones, search for jobs, bathrooms. Apply for services by paper or by computers provided.",y,y,,
